Artist,SevenDigArtistId,SevenDigTrackId,Dancability,Energy,Tempo,Title
LoneLady,118887,1600379,0.456068,0.976865,163.152,Early the Haste Comes
LoneLady,118887,1600389,0.407036,0.986749,158.88,Joy
LoneLady,118887,6807294,0.560625,0.763297,145.444,Immaterial
LoneLady,118887,6807300,0.601999,0.657969,200.9,XY
LoneLady,118887,7828680,0.637825,0.868868,146.301,Intuition
LoneLady,118887,7828681,0.453552,0.409039,109.392,Bloedel
LoneLady,118887,7961652,0.697834,0.84415,159.361,If Not Now
LoneLady,118887,7961653,0.637825,0.868868,146.301,Intuition
Ibibio Sound Machine,2110106,33569277,0.627737,0.835261,79.886,Chop Chop
Ibibio Sound Machine,2110106,35700707,0.132204,0.278151,144.497,Voice of the Bird
Ibibio Sound Machine,2110106,35700711,0.650829,0.755956,131.883,I'm Running
Ibibio Sound Machine,2110106,35700714,0.776198,0.790109,110.078,The Talking Fish
Ibibio Sound Machine,2110106,35700716,0.747526,0.853355,137.007,Let's Dance
Ibibio Sound Machine,2110106,35700719,0.770202,0.563032,129.961,Uwa the Peacock
Ibibio Sound Machine,2110106,35700722,0.790834,0.783191,99.956,The Tortoise
Django Django,482915,42201586,0.691566,0.781316,108.99,First Light
Neneh Cherry,537,34953859,0.826477,0.116062,70.067,Across The Water
Neneh Cherry,537,10793,0.710353,0.688476,107.259,Buffalo Stance (12'' Version)
DJ Yoda,150591,13417660,0.677418,0.931943,126.006,EVA featuring Herve
DJ Yoda,150591,13417661,0.722973,0.926122,105.004,"Back & Forth featuring A. Skillz,Izza Kizza"
Maximo Park,11189,34456752,0.438413,0.662104,188.034,Leave This Island
Maximo Park,11189,34456751,0.51073,0.509062,72.289,Brain Cells
Maximo Park,11189,34456749,0.313627,0.914869,170.014,"Give, Get, Take"
Django Django,482915,42201586,0.691566,0.781316,108.99,First Light
Gilles Peterson's Havana Cultura Band,667574,8147103,0.520734,0.480651,125.072,Roforofo Fight
Gilles Peterson's Havana Cultura Band,667574,18220912,0.76509,0.801586,122.006,Orisa (AtJazz Love Soul Remix)
Gilles Peterson's Havana Cultura Band,667574,19865989,0.731594,0.606271,119.989,Afrodisia (Rainer Trueby Remix)
Stuart Maconie,2179842,35039677,0.626966,0.277902,81.748,The People's Songs: We'll Meet Again
Stuart Maconie,2179842,35039833,0.707251,0.273773,109.738,The People's Songs: Two Tribes
Stuart Maconie,2179842,35039844,0.635976,0.288698,85.514,The People's Songs: She Loves You
British Sea Power,112518,23590528,0.440446,0.748611,150.024,Machineries of Joy
British Sea Power,112518,23590530,0.235336,0.912153,164.852,K Hole
British Sea Power,112518,23590533,0.256352,0.715255,128.91,Loving Animals
Maximo Park,11189,34456752,0.438413,0.662104,188.034,Leave This Island
Maximo Park,11189,34456751,0.51073,0.509062,72.289,Brain Cells
Maximo Park,11189,34456749,0.313627,0.914869,170.014,"Give, Get, Take"
British Sea Power,112518,23590528,0.440446,0.748611,150.024,Machineries of Joy
British Sea Power,112518,23590530,0.235336,0.912153,164.852,K Hole
British Sea Power,112518,23590533,0.256352,0.715255,128.91,Loving Animals
Jamie T,24509,39669118,0.546021,0.911269,145.205,Zombie
Jamie T,24509,39669126,0.493517,0.898628,160.035,Rabbit Hole
Jamie T,24509,38860537,0.546021,0.911269,145.205,Zombie
Hot Chip,14833,18095206,0.666055,0.807076,125.004,How Do You Do?
Hot Chip,14833,18095201,0.572067,0.921255,125.999,Motion Sickness
Hot Chip,14833,18095210,0.672828,0.864444,121.982,Don't Deny Your Heart
DJ Yoda,150591,13417660,0.677418,0.931943,126.006,EVA featuring Herve
DJ Yoda,150591,13417661,0.722973,0.926122,105.004,"Back & Forth featuring A. Skillz,Izza Kizza"
Stuart Maconie,2179842,35039677,0.626966,0.277902,81.748,The People's Songs: We'll Meet Again
Stuart Maconie,2179842,35039833,0.707251,0.273773,109.738,The People's Songs: Two Tribes
Stuart Maconie,2179842,35039844,0.635976,0.288698,85.514,The People's Songs: She Loves You
Glass Animals,1299462,37163993,0.486408,0.375123,183.11,Gooey
Glass Animals,1299462,37163990,0.670974,0.639608,105.068,Pools
Glass Animals,1299462,37164001,0.63691,0.362848,72.967,Toes
The Charlatans,14,42436168,0.569074,0.870428,102.009,Talking In Tones
